% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.341 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:41:12 +1100
Time (s), Voltage (V), Freq (Hz), FFT (dBm)
-1.170432000000e-03, -8.741451e-01, 0.000000e+00, -4.024115e+01
-1.168128000000e-03, -8.671227e-01, 2.304000e-06, -1.863922e+01
-1.165824000000e-03, -8.597949e-01, 4.608000e-06, -2.323259e+00
-1.163520000000e-03, -8.523144e-01, 6.912000e-06, 5.608404e+00
-1.161216000000e-03, -8.446813e-01, 9.216000e-06, 9.297621e+00
-1.158912000000e-03, -8.368192e-01, 1.152000e-05, 9.891571e+00
-1.156608000000e-03, -8.288044e-01, 1.382400e-05, 7.610560e+00
-1.154304000000e-03, -8.205606e-01, 1.612800e-05, 1.953655e+00
-1.152000000000e-03, -8.122405e-01, 1.843200e-05, -9.547714e+00
-1.149696000000e-03, -8.037677e-01, 2.073600e-05, -2.533947e+01
-1.147392000000e-03, -7.949897e-01, 2.304000e-05, -2.439157e+01
-1.145088000000e-03, -7.862116e-01, 2.534400e-05, -3.692688e+01
-1.142784000000e-03, -7.771282e-01, 2.764800e-05, -3.311382e+01
-1.140480000000e-03, -7.679684e-01, 2.995200e-05, -4.499778e+01
-1.138176000000e-03, -7.585797e-01, 3.225600e-05, -3.938071e+01
-1.135872000000e-03, -7.491146e-01, 3.456000e-05, -5.136536e+01
-1.133568000000e-03, -7.394205e-01, 3.686400e-05, -4.430751e+01
-1.131264000000e-03, -7.295738e-01, 3.916800e-05, -5.659463e+01
-1.128960000000e-03, -7.196507e-01, 4.147200e-05, -4.834098e+01
-1.126656000000e-03, -7.094987e-01, 4.377600e-05, -6.114126e+01
-1.124352000000e-03, -6.991940e-01, 4.608000e-05, -5.177047e+01
-1.122048000000e-03, -6.887366e-01, 4.838400e-05, -6.526512e+01
-1.119744000000e-03, -6.782792e-01, 5.068800e-05, -5.480665e+01
-1.117440000000e-03, -6.675165e-01, 5.299200e-05, -6.862602e+01
-1.115136000000e-03, -6.566775e-01, 5.529600e-05, -5.737656e+01
-1.112832000000e-03, -6.456858e-01, 5.760000e-05, -7.237101e+01
-1.110528000000e-03, -6.345414e-01, 5.990400e-05, -5.985550e+01
-1.108224000000e-03, -6.233207e-01, 6.220800e-05, -7.526473e+01
-1.105920000000e-03, -6.119474e-01, 6.451200e-05, -6.201176e+01
-1.103616000000e-03, -6.004214e-01, 6.681600e-05, -7.798414e+01
-1.101312000000e-03, -5.888190e-01, 6.912000e-05, -6.403641e+01
-1.099008000000e-03, -5.769877e-01, 7.142400e-05, -8.039823e+01
-1.096704000000e-03, -5.651564e-01, 7.372800e-05, -6.576171e+01
-1.094400000000e-03, -5.530960e-01, 7.603200e-05, -8.346111e+01
-1.092096000000e-03, -5.410357e-01, 7.833600e-05, -6.752652e+01
-1.089792000000e-03, -5.288227e-01, 8.064000e-05, -8.597389e+01
-1.087488000000e-03, -5.164570e-01, 8.294400e-05, -6.912137e+01
-1.085184000000e-03, -5.040150e-01, 8.524800e-05, -8.879224e+01
-1.082880000000e-03, -4.914204e-01, 8.755200e-05, -7.075644e+01
-1.080576000000e-03, -4.787494e-01, 8.985600e-05, -8.984136e+01
-1.078272000000e-03, -4.660021e-01, 9.216000e-05, -7.200031e+01
-1.075968000000e-03, -4.531785e-01, 9.446400e-05, -9.415257e+01
-1.073664000000e-03, -4.402785e-01, 9.676800e-05, -7.357866e+01
-1.071360000000e-03, -4.271495e-01, 9.907200e-05, -9.277586e+01
-1.069056000000e-03, -4.140969e-01, 1.013760e-04, -7.463214e+01
-1.066752000000e-03, -4.008152e-01, 1.036800e-04, -9.541969e+01
-1.064448000000e-03, -3.875336e-01, 1.059840e-04, -7.551148e+01
-1.062144000000e-03, -3.740993e-01, 1.082880e-04, -1.062121e+02
-1.059840000000e-03, -3.606650e-01, 1.105920e-04, -7.774020e+01
-1.057536000000e-03, -3.471544e-01, 1.128960e-04, -9.485000e+01
-1.055232000000e-03, -3.335674e-01, 1.152000e-04, -7.758097e+01
-1.052928000000e-03, -3.198278e-01, 1.175040e-04, -1.108893e+02
-1.050624000000e-03, -3.060882e-01, 1.198080e-04, -7.972132e+01
