% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.341 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:40:23 +1100
Time (s), Voltage (V)
-1.170432000000e-03, -8.741451e-01
-1.168128000000e-03, -8.671227e-01
-1.165824000000e-03, -8.597949e-01
-1.163520000000e-03, -8.523144e-01
-1.161216000000e-03, -8.446813e-01
-1.158912000000e-03, -8.368192e-01
-1.156608000000e-03, -8.288044e-01
-1.154304000000e-03, -8.205606e-01
-1.152000000000e-03, -8.122405e-01
-1.149696000000e-03, -8.037677e-01
-1.147392000000e-03, -7.949897e-01
-1.145088000000e-03, -7.862116e-01
-1.142784000000e-03, -7.771282e-01
-1.140480000000e-03, -7.679684e-01
-1.138176000000e-03, -7.585797e-01
-1.135872000000e-03, -7.491146e-01
-1.133568000000e-03, -7.394205e-01
-1.131264000000e-03, -7.295738e-01
-1.128960000000e-03, -7.196507e-01
-1.126656000000e-03, -7.094987e-01
-1.124352000000e-03, -6.991940e-01
-1.122048000000e-03, -6.887366e-01
-1.119744000000e-03, -6.782792e-01
-1.117440000000e-03, -6.675165e-01
-1.115136000000e-03, -6.566775e-01
-1.112832000000e-03, -6.456858e-01
-1.110528000000e-03, -6.345414e-01
-1.108224000000e-03, -6.233207e-01
-1.105920000000e-03, -6.119474e-01
-1.103616000000e-03, -6.004214e-01
-1.101312000000e-03, -5.888190e-01
-1.099008000000e-03, -5.769877e-01
-1.096704000000e-03, -5.651564e-01
-1.094400000000e-03, -5.530960e-01
-1.092096000000e-03, -5.410357e-01
-1.089792000000e-03, -5.288227e-01
-1.087488000000e-03, -5.164570e-01
-1.085184000000e-03, -5.040150e-01
-1.082880000000e-03, -4.914204e-01
-1.080576000000e-03, -4.787494e-01
-1.078272000000e-03, -4.660021e-01
-1.075968000000e-03, -4.531785e-01
-1.073664000000e-03, -4.402785e-01
-1.071360000000e-03, -4.271495e-01
-1.069056000000e-03, -4.140969e-01
-1.066752000000e-03, -4.008152e-01
-1.064448000000e-03, -3.875336e-01
-1.062144000000e-03, -3.740993e-01
-1.059840000000e-03, -3.606650e-01
-1.057536000000e-03, -3.471544e-01
-1.055232000000e-03, -3.335674e-01
-1.052928000000e-03, -3.198278e-01
-1.050624000000e-03, -3.060882e-01
-1.048320000000e-03, -2.922722e-01
-1.046016000000e-03, -2.784563e-01
-1.043712000000e-03, -2.644877e-01
-1.041408000000e-03, -2.505191e-01
-1.039104000000e-03, -2.364741e-01
-1.036800000000e-03, -2.223528e-01
