% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.341 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:44:29 +1100
% Time (s), Voltage (V), Freq (Hz), FFT (dBm)
-1.170432000000e-03, -9.999390e-01, 0.000000e+00, -3.935689e+01
-1.168128000000e-03, -9.999390e-01, 2.304000e-06, -1.668124e+01
-1.165824000000e-03, -9.999390e-01, 4.608000e-06, -2.319599e-01
-1.163520000000e-03, -9.999390e-01, 6.912000e-06, 7.714869e+00
-1.161216000000e-03, -9.999390e-01, 9.216000e-06, 1.139661e+01
-1.158912000000e-03, -9.999390e-01, 1.152000e-05, 1.197936e+01
-1.156608000000e-03, -9.999390e-01, 1.382400e-05, 9.704951e+00
-1.154304000000e-03, -9.999390e-01, 1.612800e-05, 4.106842e+00
-1.152000000000e-03, -9.999390e-01, 1.843200e-05, -7.363314e+00
-1.149696000000e-03, -9.999390e-01, 2.073600e-05, -2.026549e+01
-1.147392000000e-03, -9.999390e-01, 2.304000e-05, -2.073954e+01
-1.145088000000e-03, -9.999390e-01, 2.534400e-05, -1.423519e+01
-1.142784000000e-03, -9.999390e-01, 2.764800e-05, -4.127339e+00
-1.140480000000e-03, -9.999390e-01, 2.995200e-05, 5.860624e-01
-1.138176000000e-03, -9.999390e-01, 3.225600e-05, 2.414077e+00
-1.135872000000e-03, -9.999390e-01, 3.456000e-05, 1.546102e+00
-1.133568000000e-03, -9.999390e-01, 3.686400e-05, -2.376712e+00
-1.131264000000e-03, -9.999390e-01, 3.916800e-05, -1.073992e+01
-1.128960000000e-03, -9.999390e-01, 4.147200e-05, -4.176935e+01
-1.126656000000e-03, -9.999390e-01, 4.377600e-05, -2.522796e+01
-1.124352000000e-03, -9.999390e-01, 4.608000e-05, -2.884993e+01
-1.122048000000e-03, -9.999390e-01, 4.838400e-05, -1.227533e+01
-1.119744000000e-03, -9.999390e-01, 5.068800e-05, -5.593904e+00
