% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.754 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:48:05 +1100
Time (s), Voltage (V), Freq (Hz), FFT (dBm)
-1.377152000000e-03, -4.962293e-01, 0.000000e+00, -3.925828e+01
-1.374368000000e-03, -5.073736e-01, 2.784000e-06, -2.125294e+01
-1.371584000000e-03, -5.185180e-01, 5.568000e-06, -2.223018e+01
-1.368800000000e-03, -5.296623e-01, 8.352000e-06, -3.576340e+00
-1.366016000000e-03, -5.408067e-01, 1.113600e-05, 3.928918e+00
-1.363232000000e-03, -5.519511e-01, 1.392000e-05, 7.459157e+00
-1.360448000000e-03, -5.630954e-01, 1.670400e-05, 8.035684e+00
-1.357664000000e-03, -5.742398e-01, 1.948800e-05, 5.754011e+00
-1.354880000000e-03, -5.853841e-01, 2.227200e-05, 2.722035e-02
-1.352096000000e-03, -5.965285e-01, 2.505600e-05, -1.180885e+01
-1.349312000000e-03, -6.076728e-01, 2.784000e-05, -2.613971e+01
-1.346528000000e-03, -6.188172e-01, 3.062400e-05, -2.685901e+01
-1.343744000000e-03, -6.299616e-01, 3.340800e-05, -3.448386e+01
-1.340960000000e-03, -6.411059e-01, 3.619200e-05, -3.514889e+01
-1.338176000000e-03, -6.522503e-01, 3.897600e-05, -2.680986e+01
-1.335392000000e-03, -6.633183e-01, 4.176000e-05, -1.723297e+01
-1.332608000000e-03, -6.744627e-01, 4.454400e-05, -1.274462e+01
-1.329824000000e-03, -6.855307e-01, 4.732800e-05, -1.103826e+01
-1.327040000000e-03, -6.966750e-01, 5.011200e-05, -1.201014e+01
-1.324256000000e-03, -7.078194e-01, 5.289600e-05, -1.614768e+01
-1.321472000000e-03, -7.189638e-01, 5.568000e-05, -2.504380e+01
-1.318688000000e-03, -7.301081e-01, 5.846400e-05, -5.794824e+01
-1.315904000000e-03, -7.412525e-01, 6.124800e-05, -4.262336e+01
-1.313120000000e-03, -7.523968e-01, 6.403200e-05, -5.809808e+01
-1.310336000000e-03, -7.635412e-01, 6.681600e-05, -4.707009e+01
-1.307552000000e-03, -7.746856e-01, 6.960000e-05, -4.387520e+01
-1.304768000000e-03, -7.858299e-01, 7.238400e-05, -2.953289e+01
-1.301984000000e-03, -7.969743e-01, 7.516800e-05, -2.311010e+01
-1.299200000000e-03, -8.081186e-01, 7.795200e-05, -2.019282e+01
-1.296416000000e-03, -8.192630e-01, 8.073600e-05, -2.012954e+01
-1.293632000000e-03, -8.304073e-01, 8.352000e-05, -2.299485e+01
-1.290848000000e-03, -8.415517e-01, 8.630400e-05, -2.957818e+01
-1.288064000000e-03, -8.526961e-01, 8.908800e-05, -4.384549e+01
-1.285280000000e-03, -8.638404e-01, 9.187200e-05, -5.112236e+01
-1.282496000000e-03, -8.749084e-01, 9.465600e-05, -5.879642e+01
-1.279712000000e-03, -8.859765e-01, 9.744000e-05, -5.420149e+01
-1.276928000000e-03, -8.971208e-01, 1.002240e-04, -7.015840e+01
-1.274144000000e-03, -9.082652e-01, 1.030080e-04, -3.966361e+01
-1.271360000000e-03, -9.194095e-01, 1.057920e-04, -3.104718e+01
-1.268576000000e-03, -9.305539e-01, 1.085760e-04, -2.684124e+01
-1.265792000000e-03, -9.416983e-01, 1.113600e-04, -2.566824e+01
-1.263008000000e-03, -9.528426e-01, 1.141440e-04, -2.732226e+01
-1.260224000000e-03, -9.639870e-01, 1.169280e-04, -3.220961e+01
-1.257440000000e-03, -9.751313e-01, 1.197120e-04, -4.220455e+01
