% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.754 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:47:04 +1100
Time (s), Voltage (V)
-1.377152000000e-03, -4.962293e-01
-1.374368000000e-03, -5.073736e-01
-1.371584000000e-03, -5.185180e-01
-1.368800000000e-03, -5.296623e-01
-1.366016000000e-03, -5.408067e-01
-1.363232000000e-03, -5.519511e-01
-1.360448000000e-03, -5.630954e-01
-1.357664000000e-03, -5.742398e-01
-1.354880000000e-03, -5.853841e-01
-1.352096000000e-03, -5.965285e-01
-1.349312000000e-03, -6.076728e-01
-1.346528000000e-03, -6.188172e-01
-1.343744000000e-03, -6.299616e-01
-1.340960000000e-03, -6.411059e-01
-1.338176000000e-03, -6.522503e-01
-1.335392000000e-03, -6.633183e-01
-1.332608000000e-03, -6.744627e-01
-1.329824000000e-03, -6.855307e-01
-1.327040000000e-03, -6.966750e-01
-1.324256000000e-03, -7.078194e-01
-1.321472000000e-03, -7.189638e-01
-1.318688000000e-03, -7.301081e-01
-1.315904000000e-03, -7.412525e-01
-1.313120000000e-03, -7.523968e-01
-1.310336000000e-03, -7.635412e-01
-1.307552000000e-03, -7.746856e-01
-1.304768000000e-03, -7.858299e-01
-1.301984000000e-03, -7.969743e-01
-1.299200000000e-03, -8.081186e-01
-1.296416000000e-03, -8.192630e-01
-1.293632000000e-03, -8.304073e-01
-1.290848000000e-03, -8.415517e-01
-1.288064000000e-03, -8.526961e-01
-1.285280000000e-03, -8.638404e-01
-1.282496000000e-03, -8.749084e-01
-1.279712000000e-03, -8.859765e-01
-1.276928000000e-03, -8.971208e-01
-1.274144000000e-03, -9.082652e-01
-1.271360000000e-03, -9.194095e-01
-1.268576000000e-03, -9.305539e-01
-1.265792000000e-03, -9.416983e-01
-1.263008000000e-03, -9.528426e-01
-1.260224000000e-03, -9.639870e-01
-1.257440000000e-03, -9.751313e-01
-1.254656000000e-03, -9.862757e-01
-1.251872000000e-03, -9.960461e-01
-1.249088000000e-03, -9.915425e-01
-1.246304000000e-03, -9.803982e-01
-1.243520000000e-03, -9.692538e-01
-1.240736000000e-03, -9.581095e-01
-1.237952000000e-03, -9.469651e-01
-1.235168000000e-03, -9.358208e-01
-1.232384000000e-03, -9.247527e-01
-1.229600000000e-03, -9.136084e-01
-1.226816000000e-03, -9.024640e-01
-1.224032000000e-03, -8.913197e-01
-1.221248000000e-03, -8.801753e-01
-1.218464000000e-03, -8.690309e-01
-1.215680000000e-03, -8.578866e-01
-1.212896000000e-03, -8.467422e-01
-1.210112000000e-03, -8.355979e-01
-1.207328000000e-03, -8.244535e-01
-1.204544000000e-03, -8.133091e-01
-1.201760000000e-03, -8.021648e-01
-1.198976000000e-03, -7.910204e-01
-1.196192000000e-03, -7.798761e-01
-1.193408000000e-03, -7.687317e-01
-1.190624000000e-03, -7.576637e-01
-1.187840000000e-03, -7.465193e-01
-1.185056000000e-03, -7.354513e-01
-1.182272000000e-03, -7.243069e-01
-1.179488000000e-03, -7.131626e-01
-1.176704000000e-03, -7.020182e-01
-1.173920000000e-03, -6.908739e-01
-1.171136000000e-03, -6.797295e-01
-1.168352000000e-03, -6.685852e-01
-1.165568000000e-03, -6.574408e-01
-1.162784000000e-03, -6.462964e-01
-1.160000000000e-03, -6.351521e-01
-1.157216000000e-03, -6.240077e-01
-1.154432000000e-03, -6.128634e-01
-1.151648000000e-03, -6.017190e-01
-1.148864000000e-03, -5.905746e-01
-1.146080000000e-03, -5.794303e-01
-1.143296000000e-03, -5.682859e-01
-1.140512000000e-03, -5.571416e-01
-1.137728000000e-03, -5.460735e-01
